,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,airline,text
0,570306133677760513,neutral,1.0,0,Virgin America,@VirginAmerica What @dhepburn said.
1,570301130888122368,positive,0.3486,0,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.
2,570301083672813571,neutral,0.6837,0,Virgin America,@VirginAmerica I didn't today... Must mean I need to take another trip!
3,570301031407624196,negative,1.0,Bad Flight,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
4,570300817074462722,negative,1.0,Can't Tell,Virgin America,@VirginAmerica and it's a really big bad thing about it
5,570300767074181121,negative,1.0,Can't Tell,Virgin America,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
6,570300616901320704,positive,0.6745,0,Virgin America,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
7,570300248553349120,neutral,0.634,0,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
8,570299953286942721,positive,0.6559,0,Virgin America,"@virginamerica Well, I didn't…but NOW I DO! :-D"
9,570295459631263746,positive,1.0,0,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
10,570294189143031808,neutral,0.6769,0,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
11,570289724453216256,positive,1.0,0,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
12,570289584061480960,positive,1.0,0,Virgin America,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
13,570287408438120448,positive,0.6451,0,Virgin America,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
14,570285904809598977,positive,1.0,0,Virgin America,@VirginAmerica Thanks!
15,570282469121007616,negative,0.6842,Late Flight,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.
16,570277724385734656,positive,1.0,0,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
17,570276917301137409,negative,1.0,Bad Flight,Virgin America,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
18,570270684619923457,positive,1.0,0,Virgin America,I ❤️ flying @VirginAmerica. ☺️👍
